No;Nama;latitude;longitude;nama_google;isna
16;Kantor Pertanahan Kabupaten Aceh Tamiang, Provinsi Aceh;4.2840736;98.0576519;Dinas Pertanahan Kabupaten Aceh Tamiang;0
17;Kantor Pertanahan Kota Lhokseumawe, Provinsi Aceh;5.1729908;97.1374979;Kantor Pertanahan Kota Lhokseumawe;0
18;Kantor Pertanahan Kabupaten Aceh Jaya, Provinsi Aceh;4.6223836;95.619944;Dinas Pertanahan Kabupaten Aceh Jaya;0
19;Kantor Pertanahan Kota Langsa, Provinsi Aceh;4.4692016;97.9649387;Kantor Pertanahan Kota Langsa;0
20;Kantor Pertanahan Kabupaten Aceh Barat Daya, Provinsi Aceh;3.740144;96.8389527;Dinas Pertanahan Aceh Barat Daya;0
21;Kantor Pertanahan Kabupaten Pidie Jaya, Provinsi Aceh;5.2265085;96.2441333;Kantor Pertanahan Kabupaten Pidie Jaya;0
22;Kantor Pertanahan Kabupaten Bener Meriah, Provinsi Aceh;4.7248875;96.8119035;Kantor Pertanahan Kabupaten Bener Meriah;0
23;Kantor Pertanahan Kabupaten Subulussalam, Provinsi Aceh;2.6404523;98.00056;Kantor Pertanahan Kota Subulussalam;0
24;Kantor Pertanahan Kabupaten Gayo Lues, Provinsi Aceh;3.9951183;97.3303008;Dinas Pertanahan Kabupaten Gayo Lues;0
25;Kantor Wilayah Badan Pertanahan Nasional Provinsi Sumatera Utara;3.576241;98.6852131;Kantor Wilayah BPN Provinsi Sumatera Utara;0
26;Kantor Pertanahan Kota Medan, Provinsi Sumatera Utara;3.5508164;98.6920842;Kantor Pertanahan Kota Medan;0
27;Kantor Pertanahan Kabupaten Langkat, Provinsi Sumatera Utara;3.7433313;98.4507412;Kantor Pertanahan Kab. Langkat;0
28;Kantor Pertanahan Kota Pematang Siantar, Provinsi Sumatera Utara;2.9556915;99.0493439;Kantor Pertanahan Kota Pematang Siantar;0
29;Kantor Pertanahan Kabupaten Deli Serdang, Provinsi Sumatera Utara;3.5477519;98.8675176;Kantor Pertanahan Kabupaten Deli Serdang;0
30;Kantor Pertanahan Kabupaten Dairi, Provinsi Sumatera Utara;2.7483029;98.3149197;ATR BPN Dairi;0
31;Kantor Pertanahan Kabupaten Karo, Provinsi Sumatera Utara;3.1113302;98.5014423;Kantor Pertanahan Kabupaten Karo;0
32;Kantor Pertanahan Kabupaten Asahan, Provinsi Sumatera Utara;2.9877511;99.6235665;Kantor Pertanahan Kabupaten Asahan;0
33;Kantor Pertanahan Kota Tanjung Balai, Provinsi Sumatera Utara;2.9639123;99.8065745;Kantor Pertanahan Kota Tanjungbalai;0
34;Kantor Pertanahan Kabupaten Simalungun, Provinsi Sumatera Utara;2.9623057;99.0824264;Kantor ATR-BPN/ Pertanahan Kabupaten Simalungun;0
35;Kantor Pertanahan Kabupaten Tapanuli Selatan, Provinsi Sumatera Utara;1.3946314;99.25573;Kantor Pertanahan Kab. Tapanuli Selatan (BPN);0
36;Kantor Pertanahan Kabupaten Nias, Provinsi Sumatera Utara;1.2819288;97.6141045;Badan Pertanahan Kabupaten Nias;0
37;Kantor Pertanahan Kabupaten Labuhanbatu, Provinsi Sumatera Utara;2.1144853;99.8220244;Kantor Pertanahan Kabupaten Labuhanbatu (BPN);0
38;Kantor Pertanahan Kota Sibolga, Provinsi Sumatera Utara;1.7384564;98.7775894;Kantor Pertanahan Kota Sibolga;0
39;Kantor Pertanahan Kabupaten Tapanuli Tengah, Provinsi Sumatera Utara;1.6876157;98.8241057;Badan Pertanahan Nasional Tapteng;0
40;Kantor Pertanahan Kabupaten Tapanuli Utara, Provinsi Sumatera Utara;2.0275031;98.9646533;Kantor Pertanahan Kabupaten Tapanuli Utara;0
41;Kantor Pertanahan Kota Tebing Tinggi, Provinsi Sumatera Utara;3.3546964;99.1668104;Kantor Pertanahan Kota Tebing Tinggi;0
42;Kantor Pertanahan Kota Binjai, Provinsi Sumatera Utara;3.6004036;98.4793806;Ktr. Pertanahan Kota Binjai;0
43;Kantor Pertanahan Kabupaten Mandailing Natal, Provinsi Sumatera Utara;0.800028;99.5782596;Kantor Pertanahan Kabupaten Mandailing Natal;0
44;Kantor Pertanahan Kabupaten Toba Samosir, Provinsi Sumatera Utara;2.3229971;99.0675463;Kantor Pertanahan Kabupaten Toba;0
45;Kantor Pertanahan Kota Padang Sidempuan, Provinsi Sumatera Utara;1.3347316;99.3056127;Kantor Pertanahan Kota Padangsidimpuan;0
46;Kantor Pertanahan Kabupaten Serdang Bedagai, Provinsi Sumatera Utara;3.5032094;99.114813;Kantor Pertanahan Kabupaten Serdang Bedagai;0
47;Kantor Pertanahan Kabupaten Humbang Hasundutan, Provinsi Sumatera Utara;2.2764139;98.7458613;Kantor BPN Humbahas;0
48;Kantor Pertanahan Kabupaten Nias Selatan, Provinsi Sumatera Utara;0.5636424;97.8085782;Kantor Pertanahan Kab. Nias Selatan;0
49;Kantor Pertanahan Kabupaten Samosir, Provinsi Sumatera Utara;2.6870931;98.7055305;Kantor Pertanahan Kabupaten Samosir;0
50;Kantor Pertanahan Kabupaten Pakpak Bharat, Provinsi Sumatera Utara;2.5431767;98.3257441;Kantor Pertanahan Kabupaten Pakpak Bharat;0
51;Kantor Wilayah Badan Pertanahan Nasional Provinsi Sumatera Barat;-0.9393773;100.3599396;Kanwil ATR/BPN Prov. Sumbar;0
52;Kantor Pertanahan Kota Padang, Provinsi Sumatera Barat;-0.9344197;100.3550357;BPN Padang;0
53;Kantor Pertanahan Kota Bukittinggi, Provinsi Sumatera Barat;-0.3146802;100.3695753;ATR/BPN Kantah Kota Bukittinggi;0
54;Kantor Pertanahan Kota Padang Panjang, Provinsi Sumatera Barat;-0.4625973;100.4027807;Kantor Pertanahan Kota Padang Panjang;0
55;Kantor Pertanahan Kabupaten Agam, Provinsi Sumatera Barat;-0.3148233;100.0336129;Kantor Pertanahan Kabupaten Agam;0
56;Kantor Pertanahan Kabupaten Lima Puluh Kota, Provinsi Sumatera Barat;-0.2248174;100.6344324;ATR/BPN Kantah Kab.Lima Puluh Kota;0
57;Kantor Pertanahan Kota Payakumbuh, Provinsi Sumatera Barat;-0.2488931;100.6192748;Kementrian Agraria dan Tata Ruang/Badan Pertanahan Nasional Kota Payakumbuh;0
58;Kantor Pertanahan Kabupaten Pasaman, Provinsi Sumatera Barat;0.1385044;100.1676137;Kantor Pertanahan Kabupaten Pasaman;0
59;Kantor Pertanahan Kabupaten Solok, Provinsi Sumatera Barat;-0.8306129;100.6540029;Badan Pertanahan Nasional Kabupaten Solok;0
60;Kantor Pertanahan Kota Solok, Provinsi Sumatera Barat;-0.7984831;100.6523538;ATR/BPN Kantah Kota Solok;0
61;Kantor Pertanahan Kabupaten Tanah Datar, Provinsi Sumatera Barat;-0.4792108;100.6231523;Kantor Pertanahan Kabupaten Tanah Datar;0
62;Kantor Pertanahan Kabupaten Sijunjung, Provinsi Sumatera Barat;-0.6639204;100.9401051;Kantor Pertanahan Kab. Sijunjung;0
63;Kantor Pertanahan Kota Sawahlunto, Provinsi Sumatera Barat;-0.6389651;100.7441147;Kantor Badan Pertanahan Nasional Kota Sawahlunto;0
64;Kantor Pertanahan Kabupaten Padang Pariaman, Provinsi Sumatera Barat;-0.623291;100.28979;Kantor Pertanahan Kab. Padang Pariaman;0
65;Kantor Pertanahan Kabupaten Pesisir Selatan, Provinsi Sumatera Barat;-1.3054746;100.5443912;Kantor Pertanahan Kab. Pesisir Selatan;0
66;Kantor Pertanahan Kabupaten Kepulauan Mentawai, Provinsi Sumatera Barat;-2.081059;99.606271;Kantor Pertanahan Kabupaten Kepulauan Mentawai;0
67;kantor Pertanahan Kota Pariaman, Provinsi Sumatera Barat;-0.6300579;100.1218291;Kantor Pertanahan Kota Pariaman;0
68;Kantor Pertanahan Kabupaten Pasaman Barat, Provinsi Sumatera Barat;0.1067932;99.8271921;Kantor Pertanahan (BPN) Pasaman Barat;0
69;Kantor Pertanahan Kabupaten Dharmasraya, Provinsi Sumatera Barat;-0.9859426;101.5412205;ATR/BPN Kantah Kab. Dharmasraya;0
70;Kantor Pertanahan Kabupaten Solok Selatan, Provinsi Sumatera Barat;-1.5551;101.2462905;Kantor Pertanahan Kabupaten Solok Selatan;0
71;Kantor Wilayah Badan Pertanahan Nasional Provinsi Sumatera Selatan;-2.9793019;104.743033;Kanwil Badan Pertanahan Nasional Provinsi Sumatera Selatan;0
72;Kantor Pertanahan Kota Palembang, Provinsi Sumatera Selatan;-2.9825966;104.7447557;Kantor Pertanahan Kota Palembang;0
73;Kantor Pertanahan Kabupaten Lahat, Provinsi Sumatera Selatan;-3.7765499;103.5484211;Kantor Pertanahan Kabupaten Lahat;0
74;Kantor Pertanahan Kabupaten Muara Enim, Provinsi Sumatera Selatan;-3.6565815;103.7778622;Kantor Pertanahan Kabupaten Muara Enim;0
75;Kantor Pertanahan Kabupaten Ogan Komering Ilir, Provinsi Sumatera Selatan;-3.4129902;104.8241404;Kantor Pertanahan Kabupaten Ogan Komering Ilir;0
76;Kantor Pertanahan Kabupaten Ogan Komering Ulu, Provinsi Sumatera Selatan;-4.1167505;104.1749698;Kantor Kementrian ATR/ BPN Kab. OKU;0
77;Kantor Pertanahan Kabupaten Musi Banyuasin, Provinsi Sumatera Selatan;-2.8909219;103.8409559;Kantor Pertanahan Kabupaten Musi Banyuasin;0
78;Kantor Pertanahan Kabupaten Musi Rawas, Provinsi Sumatera Selatan;-3.2445425;103.0097274;Kantor Pertanahan Kabuaten Musi Rawas;0
79;Kantor Pertanahan Kota Pagar Alam, Provinsi Sumatera Selatan;-4.0437474;103.1990127;Kantor Pertanahan Kota Pagar Alam;0
80;Kantor Pertanahan Kota Prabumulih, Provinsi Sumatera Selatan;-3.3689479;104.303338;Kantor ATR/BPN Kota Prabumulih;0
81;Kantor Pertanahan Kota Lubuklinggau, Provinsi Sumatera Selatan;-3.2687923;102.9151506;Kantor Pertanahan Kota Lubuklinggau;0
82;Kantor Pertanahan Kabupaten Banyuasin, Provinsi Sumatera Selatan;-2.9149121;104.4040069;Kantor Pertanahan Kabupaten Banyuasin;0
